contract,date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice
BTC-28JUN19-6000-C,2019-03-02,BTC,28JUN19,6000,C,0.016,58.94,2,3805.87
BTC-28JUN19-6000-C,2019-03-04,BTC,28JUN19,6000,C,0.0145,60.21,10,3709.22
BTC-28JUN19-6000-C,2019-03-05,BTC,28JUN19,6000,C,0.0185,60.53,10,3856.62
BTC-28JUN19-6000-C,2019-03-06,BTC,28JUN19,6000,C,0.017,59.62,6,3843.59
BTC-28JUN19-6000-C,2019-03-07,BTC,28JUN19,6000,C,0.0155,58.32,1,3843.78
BTC-28JUN19-6000-C,2019-03-08,BTC,28JUN19,6000,C,0.0155,57.74,27,3891.44
BTC-28JUN19-6000-C,2019-03-09,BTC,28JUN19,6000,C,0.0165,58.5,8,3916.87
BTC-28JUN19-6000-C,2019-03-10,BTC,28JUN19,6000,C,0.0155,58.23,17,3900.94
BTC-28JUN19-6000-C,2019-03-11,BTC,28JUN19,6000,C,0.0145,58.79,21,3838.15
BTC-28JUN19-6000-C,2019-03-12,BTC,28JUN19,6000,C,0.0135,57.7,11,3856.22
BTC-28JUN19-6000-C,2019-03-13,BTC,28JUN19,6000,C,0.0135,58.46,20,3845.49
BTC-28JUN19-6000-C,2019-03-14,BTC,28JUN19,6000,C,0.0135,58.57,4,3850.36
BTC-28JUN19-6000-C,2019-03-15,BTC,28JUN19,6000,C,0.0155,59.7,14,3899.86
BTC-28JUN19-6000-C,2019-03-16,BTC,28JUN19,6000,C,0.0145,56.87,5,3979.27
BTC-28JUN19-6000-C,2019-03-17,BTC,28JUN19,6000,C,0.015,57.91,11,3976.7
BTC-28JUN19-6000-C,2019-03-18,BTC,28JUN19,6000,C,0.015,58.33,7,3966.34
BTC-28JUN19-6000-C,2019-03-19,BTC,28JUN19,6000,C,0.013,56.69,5,3952.1
BTC-28JUN19-6000-C,2019-03-20,BTC,28JUN19,6000,C,0.0135,56.38,5,4012.25
BTC-28JUN19-6000-C,2019-03-21,BTC,28JUN19,6000,C,0.0125,57.34,6,3945.32
BTC-28JUN19-6000-C,2019-03-22,BTC,28JUN19,6000,C,0.0125,56.51,2,3994.06
BTC-28JUN19-6000-C,2019-03-23,BTC,28JUN19,6000,C,0.013,57.61,3,3978.48
BTC-28JUN19-6000-C,2019-03-24,BTC,28JUN19,6000,C,0.0115,56.58,8,3956.5
BTC-28JUN19-6000-C,2019-03-25,BTC,28JUN19,6000,C,0.0105,57.12,6,3903.23
BTC-28JUN19-6000-C,2019-03-26,BTC,28JUN19,6000,C,0.011000000000000001,57.56,1,3914.23
BTC-28JUN19-6000-C,2019-03-27,BTC,28JUN19,6000,C,0.0115,56.95,4,3981.09
BTC-28JUN19-6000-C,2019-03-28,BTC,28JUN19,6000,C,0.0115,56.67,6,4009.76
BTC-28JUN19-6000-C,2019-03-29,BTC,28JUN19,6000,C,0.013000000000000001,56.64,25,4079.94
BTC-28JUN19-6000-C,2019-03-30,BTC,28JUN19,6000,C,0.0125,55.34,1,4118.19
BTC-28JUN19-6000-C,2019-03-31,BTC,28JUN19,6000,C,0.0135,57.48,2,4093.75
BTC-28JUN19-6000-C,2019-04-01,BTC,28JUN19,6000,C,0.013000000000000001,56.68,8,4135.14
BTC-28JUN19-6000-C,2019-04-02,BTC,28JUN19,6000,C,0.046,60.05,35,4897.43
BTC-28JUN19-6000-C,2019-04-03,BTC,28JUN19,6000,C,0.0675,71.66,57,4922.93
BTC-28JUN19-6000-C,2019-04-04,BTC,28JUN19,6000,C,0.0495,64.12,16,4842.83
BTC-28JUN19-6000-C,2019-04-05,BTC,28JUN19,6000,C,0.059000000000000004,65.3,5,5013.14
BTC-28JUN19-6000-C,2019-04-06,BTC,28JUN19,6000,C,0.0595,66.72,5,4971.95
BTC-28JUN19-6000-C,2019-04-07,BTC,28JUN19,6000,C,0.0665,64.58,4,5164.93
BTC-28JUN19-6000-C,2019-04-08,BTC,28JUN19,6000,C,0.0735,64.66,8,5292.71
BTC-28JUN19-6000-C,2019-04-09,BTC,28JUN19,6000,C,0.0685,64.81,2,5221.02
BTC-28JUN19-6000-C,2019-04-10,BTC,28JUN19,6000,C,0.0725,64.86,7,5298.05
BTC-28JUN19-6000-C,2019-04-11,BTC,28JUN19,6000,C,0.048,59.53,8,5070.71
BTC-28JUN19-6000-C,2019-04-12,BTC,28JUN19,6000,C,0.0495,61.09,11,5061.14
BTC-28JUN19-6000-C,2019-04-13,BTC,28JUN19,6000,C,0.0425,57.76,6,5062.51
BTC-28JUN19-6000-C,2019-04-14,BTC,28JUN19,6000,C,0.047,59.58,1,5102.76
BTC-28JUN19-6000-C,2019-04-15,BTC,28JUN19,6000,C,0.047,58.66,20,5133.34
BTC-28JUN19-6000-C,2019-04-16,BTC,28JUN19,6000,C,0.0515,58.37,23,5214.96
BTC-28JUN19-6000-C,2019-04-17,BTC,28JUN19,6000,C,0.0495,57.88,6,5195.69
BTC-28JUN19-6000-C,2019-04-18,BTC,28JUN19,6000,C,0.053,57.14,13,5300.58
BTC-28JUN19-6000-C,2019-04-19,BTC,28JUN19,6000,C,0.0475,55.64,11,5259.96
BTC-28JUN19-6000-C,2019-04-20,BTC,28JUN19,6000,C,0.0525,55.75,2,5352.02
BTC-28JUN19-6000-C,2019-04-21,BTC,28JUN19,6000,C,0.0495,57.1,11,5282.71
BTC-28JUN19-6000-C,2019-04-22,BTC,28JUN19,6000,C,0.055,57.86,14,5362.88
BTC-28JUN19-6000-C,2019-04-23,BTC,28JUN19,6000,C,0.0695,60.0,18,5555.67
BTC-28JUN19-6000-C,2019-04-24,BTC,28JUN19,6000,C,0.056,58.04,11,5420.75
BTC-28JUN19-6000-C,2019-04-25,BTC,28JUN19,6000,C,0.045,63.48,10,5105.14
BTC-28JUN19-6000-C,2019-04-26,BTC,28JUN19,6000,C,0.0415,59.25,12,5156.22
BTC-28JUN19-6000-C,2019-04-27,BTC,28JUN19,6000,C,0.0385,58.0,7,5164.52
BTC-28JUN19-6000-C,2019-04-28,BTC,28JUN19,6000,C,0.0385,60.51,9,5111.93
BTC-28JUN19-6000-C,2019-04-29,BTC,28JUN19,6000,C,0.036000000000000004,58.7,14,5130.97
BTC-28JUN19-6000-C,2019-04-30,BTC,28JUN19,6000,C,0.045,60.82,13,5266.75
BTC-28JUN19-6000-C,2019-05-01,BTC,28JUN19,6000,C,0.0425,58.36,4,5313.09
BTC-28JUN19-6000-C,2019-05-02,BTC,28JUN19,6000,C,0.045,57.98,12,5387.31
BTC-28JUN19-6000-C,2019-05-03,BTC,28JUN19,6000,C,0.0665,59.86,18,5649.78
BTC-28JUN19-6000-C,2019-05-04,BTC,28JUN19,6000,C,0.076,58.33,15,5830.18
BTC-28JUN19-6000-C,2019-05-05,BTC,28JUN19,6000,C,0.068,58.62,5,5729.33
BTC-28JUN19-6000-C,2019-05-06,BTC,28JUN19,6000,C,0.07,62.04,13,5687.92
BTC-28JUN19-6000-C,2019-05-07,BTC,28JUN19,6000,C,0.0865,64.37,20,5886.19
BTC-28JUN19-6000-C,2019-05-08,BTC,28JUN19,6000,C,0.079,63.7,6,5855.44
BTC-28JUN19-6000-C,2019-05-09,BTC,28JUN19,6000,C,0.096,61.03,47,6155.13
BTC-28JUN19-6000-C,2019-05-10,BTC,28JUN19,6000,C,0.1125,62.61,49,6372.5
BTC-28JUN19-6000-C,2019-05-11,BTC,28JUN19,6000,C,0.2205,82.38,240,7347.34
BTC-28JUN19-6000-C,2019-05-12,BTC,28JUN19,6000,C,0.2,72.46,70,7239.74
ETH-29MAR19-145-P,2019-03-22,ETH,29MAR19,145,P,0.078,55.7,1,135.87
ETH-29MAR19-145-P,2019-03-25,ETH,29MAR19,145,P,0.086,0.0,1,133.48
BTC-12APR19-5625-P,2019-04-03,BTC,12APR19,5625,P,0.1265,92.02,2,5087.39
BTC-12APR19-5625-P,2019-04-06,BTC,12APR19,5625,P,0.097,81.45,3,5187.29
BTC-12APR19-5625-P,2019-04-07,BTC,12APR19,5625,P,0.0965,69.23,1,5152.79
BTC-12APR19-5625-P,2019-04-08,BTC,12APR19,5625,P,0.092,81.78,1,5186.63
BTC-17MAY19-7750-C,2019-05-10,BTC,17MAY19,7750,C,0.002,81.41,13,6408.74
BTC-17MAY19-7750-C,2019-05-11,BTC,17MAY19,7750,C,0.0235,98.36,44,7285.12
BTC-17MAY19-7750-C,2019-05-12,BTC,17MAY19,7750,C,0.013000000000000001,99.22,48,7025.77
BTC-1MAR19-4125-P,2019-02-23,BTC,1MAR19,4125,P,0.027000000000000003,56.8,14,4130.81
BTC-1MAR19-4125-P,2019-02-24,BTC,1MAR19,4125,P,0.098,76.68,23,3783.29
BTC-1MAR19-4125-P,2019-02-25,BTC,1MAR19,4125,P,0.098,74.97,1,3776.02
BTC-1MAR19-4125-P,2019-02-26,BTC,1MAR19,4125,P,0.0825,72.55,1,3827.66
BTC-1MAR19-4125-P,2019-02-28,BTC,1MAR19,4125,P,0.0945,0.0,6,3767.3
BTC-22FEB19-4000-P,2019-02-14,BTC,22FEB19,4000,P,0.128,64.5,1,3562.42
BTC-22FEB19-4000-P,2019-02-15,BTC,22FEB19,4000,P,0.127,73.71,8,3569.56
BTC-22FEB19-4000-P,2019-02-17,BTC,22FEB19,4000,P,0.102,56.28,6,3635.21
BTC-22FEB19-4000-P,2019-02-18,BTC,22FEB19,4000,P,0.0495,64.65,34,3849.73
BTC-22FEB19-4000-P,2019-02-19,BTC,22FEB19,4000,P,0.03,64.06,24,3937.39
BTC-22FEB19-4000-P,2019-02-20,BTC,22FEB19,4000,P,0.011,0.0,15,3924.0
BTC-22FEB19-4000-P,2019-02-21,BTC,22FEB19,4000,P,0.0315,81.02,12,3895.99
BTC-26APR19-4500-C,2019-02-16,BTC,26APR19,4500,C,0.0265,56.61,5,3596.82
BTC-26APR19-4500-C,2019-02-17,BTC,26APR19,4500,C,0.0235,55.56,2,3573.18
BTC-26APR19-4500-C,2019-02-18,BTC,26APR19,4500,C,0.0395,55.26,5,3861.8
BTC-26APR19-4500-C,2019-02-19,BTC,26APR19,4500,C,0.044000000000000004,56.87,2,3892.38
BTC-26APR19-4500-C,2019-02-20,BTC,26APR19,4500,C,0.0505,59.66,3,3932.22
BTC-26APR19-4500-C,2019-02-21,BTC,26APR19,4500,C,0.0405,54.69,12,3899.74
BTC-26APR19-4500-C,2019-02-22,BTC,26APR19,4500,C,0.0435,55.52,11,3938.61
BTC-26APR19-4500-C,2019-02-23,BTC,26APR19,4500,C,0.0605,58.45,9,4115.93
BTC-26APR19-4500-C,2019-02-24,BTC,26APR19,4500,C,0.038,61.58,4,3790.2
BTC-26APR19-4500-C,2019-02-25,BTC,26APR19,4500,C,0.0385,61.86,4,3787.71
BTC-26APR19-4500-C,2019-02-27,BTC,26APR19,4500,C,0.0305,56.27,3,3797.86
BTC-26APR19-4500-C,2019-02-28,BTC,26APR19,4500,C,0.034,58.12,1,3823.36
BTC-26APR19-4500-C,2019-03-01,BTC,26APR19,4500,C,0.03,56.01,3,3811.58
BTC-26APR19-4500-C,2019-03-02,BTC,26APR19,4500,C,0.027000000000000003,54.02,1,3811.21
BTC-26APR19-4500-C,2019-03-03,BTC,26APR19,4500,C,0.026000000000000002,55.14,11,3784.1
BTC-26APR19-4500-C,2019-03-04,BTC,26APR19,4500,C,0.0195,53.17,9,3708.69
BTC-26APR19-4500-C,2019-03-05,BTC,26APR19,4500,C,0.026,54.74,8,3805.06
BTC-26APR19-4500-C,2019-03-06,BTC,26APR19,4500,C,0.027000000000000003,54.25,2,3842.17
BTC-26APR19-4500-C,2019-03-07,BTC,26APR19,4500,C,0.0255,51.62,1,3879.12
BTC-26APR19-4500-C,2019-03-08,BTC,26APR19,4500,C,0.0225,54.68,16,3781.43
BTC-26APR19-4500-C,2019-03-09,BTC,26APR19,4500,C,0.022000000000000002,49.22,4,3896.32
BTC-26APR19-4500-C,2019-03-10,BTC,26APR19,4500,C,0.0245,51.95,1,3897.45
BTC-26APR19-4500-C,2019-03-11,BTC,26APR19,4500,C,0.021,52.37,6,3827.59
BTC-26APR19-4500-C,2019-03-12,BTC,26APR19,4500,C,0.0205,51.36,1,3857.19
BTC-26APR19-4500-C,2019-03-13,BTC,26APR19,4500,C,0.019,51.13,1,3852.32
BTC-26APR19-4500-C,2019-03-14,BTC,26APR19,4500,C,0.018000000000000002,50.15,4,3856.66
BTC-26APR19-4500-C,2019-03-15,BTC,26APR19,4500,C,0.017,48.53,1,3869.59
BTC-26APR19-4500-C,2019-03-16,BTC,26APR19,4500,C,0.0235,49.69,9,3984.41
BTC-26APR19-4500-C,2019-03-17,BTC,26APR19,4500,C,0.0195,47.68,5,3968.89
BTC-26APR19-4500-C,2019-03-18,BTC,26APR19,4500,C,0.018000000000000002,46.55,5,3970.15
BTC-26APR19-4500-C,2019-03-19,BTC,26APR19,4500,C,0.019,46.27,3,4000.87
BTC-26APR19-4500-C,2019-03-20,BTC,26APR19,4500,C,0.02,45.87,16,4042.86
BTC-26APR19-4500-C,2019-03-21,BTC,26APR19,4500,C,0.015,45.52,14,3963.24
BTC-26APR19-4500-C,2019-03-22,BTC,26APR19,4500,C,0.0165,46.31,8,3993.77
BTC-26APR19-4500-C,2019-03-23,BTC,26APR19,4500,C,0.0155,46.78,13,3981.95
BTC-26APR19-4500-C,2019-03-24,BTC,26APR19,4500,C,0.0135,45.71,19,3960.04
BTC-26APR19-4500-C,2019-03-25,BTC,26APR19,4500,C,0.01,45.49,42,3895.54
BTC-26APR19-4500-C,2019-03-26,BTC,26APR19,4500,C,0.0105,45.89,3,3915.39
BTC-26APR19-4500-C,2019-03-27,BTC,26APR19,4500,C,0.0135,45.46,34,4006.69
BTC-26APR19-4500-C,2019-03-28,BTC,26APR19,4500,C,0.0135,45.97,8,4009.72
BTC-26APR19-4500-C,2019-03-29,BTC,26APR19,4500,C,0.0155,43.99,86,4092.94
BTC-26APR19-4500-C,2019-03-30,BTC,26APR19,4500,C,0.017,47.09,24,4085.4
BTC-26APR19-4500-C,2019-03-31,BTC,26APR19,4500,C,0.0145,44.62,7,4086.79
BTC-26APR19-4500-C,2019-04-01,BTC,26APR19,4500,C,0.0165,44.71,46,4139.02
BTC-26APR19-4500-C,2019-04-02,BTC,26APR19,4500,C,0.109,58.27,341,4920.8
BTC-26APR19-4500-C,2019-04-03,BTC,26APR19,4500,C,0.166,82.31,38,5239.12
BTC-26APR19-4500-C,2019-04-04,BTC,26APR19,4500,C,0.111,70.09,11,4878.03
BTC-26APR19-4500-C,2019-04-05,BTC,26APR19,4500,C,0.124,68.47,9,4997.45
BTC-26APR19-4500-C,2019-04-06,BTC,26APR19,4500,C,0.1475,73.77,3,5163.65
BTC-26APR19-4500-C,2019-04-07,BTC,26APR19,4500,C,0.133,67.94,1,5088.7
BTC-26APR19-4500-C,2019-04-08,BTC,26APR19,4500,C,0.1625,75.21,6,5291.58
BTC-26APR19-4500-C,2019-04-09,BTC,26APR19,4500,C,0.146,68.43,7,5200.95
BTC-26APR19-4500-C,2019-04-10,BTC,26APR19,4500,C,0.1635,74.81,5,5316.55
BTC-26APR19-4500-C,2019-04-11,BTC,26APR19,4500,C,0.121,64.84,8,5048.18
BTC-26APR19-4500-C,2019-04-12,BTC,26APR19,4500,C,0.1195,52.37,2,5079.78
BTC-26APR19-4500-C,2019-04-15,BTC,26APR19,4500,C,0.1155,62.3,4,5048.28
BTC-26APR19-4500-C,2019-04-16,BTC,26APR19,4500,C,0.1395,67.47,2,5203.11
BTC-26APR19-4500-C,2019-04-17,BTC,26APR19,4500,C,0.139,50.84,3,5221.8
BTC-26APR19-4500-C,2019-04-18,BTC,26APR19,4500,C,0.15,38.03,3,5293.98
BTC-26APR19-4500-C,2019-04-19,BTC,26APR19,4500,C,0.16,69.7,4,5350.05
BTC-26APR19-4500-C,2019-04-22,BTC,26APR19,4500,C,0.17,0.0,6,5430.92
BTC-26APR19-4500-C,2019-04-23,BTC,26APR19,4500,C,0.1945,0.0,9,5596.51
BTC-26APR19-5750-P,2019-04-10,BTC,26APR19,5750,P,0.09,62.83,8,5413.5
BTC-26APR19-5750-P,2019-04-16,BTC,26APR19,5750,P,0.0915,0.0,9,5213.36
BTC-26APR19-5750-P,2019-04-18,BTC,26APR19,5750,P,0.094,59.29,11,5293.66
BTC-26APR19-5750-P,2019-04-19,BTC,26APR19,5750,P,0.08,49.46,6,5348.3
BTC-26APR19-5750-P,2019-04-20,BTC,26APR19,5750,P,0.0875,56.82,2,5308.61
BTC-26APR19-5750-P,2019-04-23,BTC,26APR19,5750,P,0.0395,63.97,8,5584.59
BTC-26APR19-5750-P,2019-04-24,BTC,26APR19,5750,P,0.0425,64.01,3,5549.63
BTC-26APR19-5750-P,2019-04-25,BTC,26APR19,5750,P,0.1025,212.52,4,5230.87
BTC-26APR19-5750-P,2019-04-26,BTC,26APR19,5750,P,0.0915,176.04,2,5269.82
ETH-29MAR19-140-C,2019-03-21,ETH,29MAR19,140,C,0.017,59.47,7,134.32
ETH-29MAR19-140-C,2019-03-22,ETH,29MAR19,140,C,0.017,56.81,10,135.97
ETH-29MAR19-140-C,2019-03-23,ETH,29MAR19,140,C,0.018000000000000002,61.76,5,135.95
ETH-29MAR19-140-C,2019-03-24,ETH,29MAR19,140,C,0.011,55.6,3,135.02
ETH-29MAR19-140-C,2019-03-25,ETH,29MAR19,140,C,0.004,54.56,8,132.18
ETH-29MAR19-140-C,2019-03-26,ETH,29MAR19,140,C,0.008,64.73,1,133.59
ETH-29MAR19-140-C,2019-03-27,ETH,29MAR19,140,C,0.006999999999999999,56.22,1,135.95
ETH-29MAR19-140-C,2019-03-28,ETH,29MAR19,140,C,0.002,63.02,3,137.24
ETH-29MAR19-140-C,2019-03-29,ETH,29MAR19,140,C,0.001,65.93,2,137.89
ETH-19APR19-150-P,2019-04-05,ETH,19APR19,150,P,0.026000000000000002,86.93,4,165.15
ETH-19APR19-150-P,2019-04-06,ETH,19APR19,150,P,0.02,88.57,3,168.67
ETH-19APR19-150-P,2019-04-07,ETH,19APR19,150,P,0.014,94.19,4,174.68
ETH-19APR19-150-P,2019-04-08,ETH,19APR19,150,P,0.01,88.98,3,176.07
ETH-19APR19-150-P,2019-04-09,ETH,19APR19,150,P,0.008,88.88,2,177.66
ETH-19APR19-150-P,2019-04-10,ETH,19APR19,150,P,0.003,78.0,4,180.39
ETH-19APR19-150-P,2019-04-11,ETH,19APR19,150,P,0.006999999999999999,66.15,5,165.55
ETH-19APR19-150-P,2019-04-12,ETH,19APR19,150,P,0.006,67.65,7,165.78
ETH-19APR19-150-P,2019-04-13,ETH,19APR19,150,P,0.006999999999999999,73.78,10,164.12
ETH-19APR19-150-P,2019-04-14,ETH,19APR19,150,P,0.006999999999999999,95.51,6,168.04
ETH-19APR19-150-P,2019-04-15,ETH,19APR19,150,P,0.008,81.34,2,160.64
ETH-19APR19-150-P,2019-04-16,ETH,19APR19,150,P,0.001,76.49,7,166.83
ETH-24MAY19-200-P,2019-05-11,ETH,24MAY19,200,P,0.069,71.25,2,194.28
ETH-24MAY19-200-P,2019-05-12,ETH,24MAY19,200,P,0.096,78.51,2,187.89
ETH-12APR19-150-C,2019-03-29,ETH,12APR19,150,C,0.021,50.99,2,142.39
ETH-12APR19-150-C,2019-03-30,ETH,12APR19,150,C,0.021,56.02,5,141.45
